1: n = 7 m = 3, ms = 12, mst = a[0..3][0..1]
5482: n = 9 m = 7, ms = 29, mst = a[0..8][4..6]
5483: n = 9 m = 10, ms = 37, mst = a[0..4][0..9]
5484: n = 5 m = 3, ms = 13, mst = a[0..4][1..1]
5485: n = 4 m = 6, ms = 17, mst = a[0..3][1..5]
5486: n = 8 m = 7, ms = 31, mst = a[0..7][1..6]
5487: n = 7 m = 10, ms = 24, mst = a[1..5][1..9]
5488: n = 3 m = 9, ms = 10, mst = a[1..2][0..1]
5489: n = 5 m = 7, ms = 10, mst = a[2..3][2..5]
5490: n = 7 m = 9, ms = 18, mst = a[4..5][4..8]
5491: n = 6 m = 9, ms = 19, mst = a[0..3][0..3]
5492: n = 9 m = 3, ms = 9, mst = a[2..8][1..1]
5493: n = 4 m = 6, ms = 6, mst = a[0..1][0..1]
5494: n = 2 m = 7, ms = 6, mst = a[0..0][0..3]
5495: n = 3 m = 5, ms = 9, mst = a[0..2][0..1]
5496: n = 6 m = 10, ms = 24, mst = a[1..5][4..8]
5497: n = 9 m = 2, ms = 5, mst = a[2..3][0..1]
5498: n = 4 m = 3, ms = 9, mst = a[1..2][0..1]
5499: n = 3 m = 8, ms = 7, mst = a[0..1][7..7]
5500: n = 10 m = 5, ms = 22, mst = a[2..9][0..1]
5501: n = 9 m = 3, ms = 9, mst = a[0..5][1..1]
5502: n = 7 m = 4, ms = 17, mst = a[2..6][0..3]
5503: n = 1 m = 7, ms = 10, mst = a[0..0][0..5]
5504: n = 7 m = 10, ms = 39, mst = a[0..5][0..6]
5505: n = 1 m = 3, ms = 0, mst is empty
5506: n = 6 m = 5, ms = 7, mst = a[1..4][0..1]
5507: n = 10 m = 8, ms = 39, mst = a[6..9][0..7]
5508: n = 7 m = 4, ms = 21, mst = a[2..4][0..3]
5509: n = 4 m = 2, ms = 11, mst = a[0..3][0..1]
5510: n = 4 m = 4, ms = 16, mst = a[0..3][0..2]
5511: n = 10 m = 2, ms = 14, mst = a[0..2][0..1]
5512: n = 8 m = 9, ms = 15, mst = a[0..7][1..3]
5513: n = 7 m = 4, ms = 13, mst = a[1..4][2..3]
5514: n = 8 m = 9, ms = 44, mst = a[0..7][1..8]
5515: n = 2 m = 1, ms = 4, mst = a[0..0][0..0]
5516: n = 8 m = 5, ms = 23, mst = a[0..7][1..3]
5517: n = 8 m = 2, ms = 9, mst = a[2..5][0..1]
5518: n = 7 m = 7, ms = 15, mst = a[2..5][4..5]
5519: n = 5 m = 6, ms = 24, mst = a[0..3][3..5]
5520: n = 2 m = 10, ms = 7, mst = a[0..0][0..5]
5521: n = 7 m = 5, ms = 22, mst = a[1..5][0..1]
5522: n = 2 m = 9, ms = 3, mst = a[0..0][6..6]
5523: n = 4 m = 10, ms = 12, mst = a[0..1][0..4]
5524: n = 9 m = 4, ms = 19, mst = a[0..4][1..3]
5525: n = 3 m = 8, ms = 13, mst = a[0..1][1..7]
5526: n = 3 m = 6, ms = 13, mst = a[0..2][1..3]
5527: n = 5 m = 2, ms = 9, mst = a[0..3][1..1]
5528: n = 4 m = 7, ms = 6, mst = a[0..1][2..2]
5529: n = 2 m = 8, ms = 11, mst = a[0..1][0..2]
5530: n = 2 m = 5, ms = 9, mst = a[0..1][0..4]
5531: n = 4 m = 9, ms = 14, mst = a[1..2][0..8]
5532: n = 4 m = 1, ms = 5, mst = a[2..3][0..0]
5533: n = 2 m = 7, ms = 10, mst = a[0..0][0..5]
5534: n = 1 m = 6, ms = 7, mst = a[0..0][0..5]
5535: n = 10 m = 9, ms = 26, mst = a[4..5][0..8]
5536: n = 5 m = 2, ms = 6, mst = a[0..2][1..1]
5537: n = 5 m = 8, ms = 9, mst = a[0..1][0..2]
5538: n = 9 m = 6, ms = 17, mst = a[0..1][0..3]
5539: n = 5 m = 3, ms = 2, mst = a[2..2][0..0]
5540: n = 7 m = 3, ms = 21, mst = a[2..4][0..2]
5541: n = 2 m = 9, ms = 6, mst = a[1..1][1..2]
5542: n = 3 m = 8, ms = 15, mst = a[1..2][2..7]
5543: n = 6 m = 4, ms = 11, mst = a[0..1][1..3]
5544: n = 4 m = 8, ms = 19, mst = a[0..3][3..6]
5545: n = 2 m = 8, ms = 8, mst = a[0..0][2..3]
5546: n = 2 m = 1, ms = 0, mst = a[0..0][0..0]
5547: n = 10 m = 1, ms = 8, mst = a[1..8][0..0]
5548: n = 8 m = 8, ms = 19, mst = a[1..7][0..2]
5549: n = 1 m = 5, ms = 1, mst = a[0..0][2..2]
5550: n = 1 m = 7, ms = 4, mst = a[0..0][6..6]
5551: n = 10 m = 1, ms = 9, mst = a[0..3][0..0]
5552: n = 3 m = 3, ms = 2, mst = a[2..2][2..2]
5553: n = 10 m = 1, ms = 2, mst = a[3..3][0..0]
5554: n = 2 m = 9, ms = 7, mst = a[0..1][1..1]
5555: n = 3 m = 8, ms = 10, mst = a[1..1][1..6]
5556: n = 10 m = 6, ms = 11, mst = a[2..4][2..5]
5557: n = 7 m = 2, ms = 15, mst = a[0..6][0..1]
5558: n = 9 m = 7, ms = 15, mst = a[1..3][0..2]
5559: n = 6 m = 1, ms = 8, mst = a[3..4][0..0]
5560: n = 5 m = 3, ms = 14, mst = a[2..4][1..2]
5561: n = 8 m = 8, ms = 41, mst = a[0..7][0..7]
5562: n = 10 m = 2, ms = 1, mst = a[8..8][0..0]
5563: n = 7 m = 3, ms = 9, mst = a[0..1][0..2]
5564: n = 8 m = 1, ms = 15, mst = a[0..7][0..0]
5565: n = 6 m = 6, ms = 18, mst = a[4..5][2..5]
5566: n = 6 m = 3, ms = 10, mst = a[1..4][1..2]
5567: n = 4 m = 1, ms = 3, mst = a[0..0][0..0]
5568: n = 2 m = 10, ms = 5, mst = a[0..0][0..1]
5569: n = 7 m = 2, ms = 13, mst = a[0..4][0..1]
5570: n = 3 m = 1, ms = 0, mst = a[0..0][0..0]
5571: n = 2 m = 1, ms = 2, mst = a[1..1][0..0]
5572: n = 1 m = 9, ms = 9, mst = a[0..0][5..8]
5573: n = 5 m = 3, ms = 15, mst = a[0..4][0..1]
5574: n = 3 m = 1, ms = 10, mst = a[0..2][0..0]
5575: n = 9 m = 7, ms = 20, mst = a[0..1][0..6]
5576: n = 9 m = 2, ms = 12, mst = a[1..8][0..0]
5577: n = 9 m = 4, ms = 14, mst = a[4..7][0..2]
5578: n = 2 m = 3, ms = 3, mst = a[1..1][0..0]
5579: n = 2 m = 6, ms = 11, mst = a[0..0][2..5]
5580: n = 2 m = 9, ms = 9, mst = a[1..1][2..8]
5581: n = 10 m = 7, ms = 9, mst = a[4..8][2..2]
5582: n = 1 m = 9, ms = 6, mst = a[0..0][3..7]
5583: n = 10 m = 10, ms = 20, mst = a[3..9][4..8]
5584: n = 9 m = 9, ms = 29, mst = a[1..6][7..8]
5585: n = 4 m = 9, ms = 19, mst = a[2..3][3..6]
5586: n = 2 m = 9, ms = 7, mst = a[0..0][1..2]
5587: n = 7 m = 4, ms = 10, mst = a[0..1][1..3]
5588: n = 4 m = 4, ms = 17, mst = a[0..3][0..3]
5589: n = 2 m = 9, ms = 5, mst = a[0..1][7..8]
5590: n = 2 m = 3, ms = 10, mst = a[0..1][1..2]
5591: n = 8 m = 7, ms = 16, mst = a[5..6][1..5]
5592: n = 8 m = 7, ms = 16, mst = a[5..5][0..4]
5593: n = 8 m = 8, ms = 17, mst = a[0..6][2..5]
5594: n = 2 m = 3, ms = 7, mst = a[0..1][0..1]
5595: n = 3 m = 9, ms = 25, mst = a[0..2][3..8]
5596: n = 7 m = 5, ms = 19, mst = a[0..6][0..3]
5597: n = 7 m = 5, ms = 14, mst = a[2..6][0..2]
5598: n = 5 m = 3, ms = 4, mst = a[1..3][0..0]
5599: n = 8 m = 3, ms = 15, mst = a[0..2][0..2]
5600: n = 9 m = 4, ms = 19, mst = a[1..5][0..3]
5601: n = 5 m = 1, ms = 3, mst = a[0..0][0..0]
5602: n = 7 m = 5, ms = 19, mst = a[0..1][1..4]
5603: n = 5 m = 5, ms = 10, mst = a[2..4][2..3]
5604: n = 8 m = 5, ms = 9, mst = a[0..1][0..1]
5605: n = 6 m = 10, ms = 15, mst = a[2..5][6..9]
5606: n = 4 m = 8, ms = 8, mst = a[2..2][0..2]
5607: n = 10 m = 9, ms = 51, mst = a[0..9][0..7]
5608: n = 6 m = 8, ms = 23, mst = a[0..5][4..7]
5609: n = 4 m = 2, ms = 4, mst = a[0..0][1..1]
5610: n = 7 m = 1, ms = 6, mst = a[4..6][0..0]
5611: n = 7 m = 9, ms = 31, mst = a[0..4][1..6]
5612: n = 4 m = 4, ms = 8, mst = a[0..1][1..3]
5613: n = 3 m = 1, ms = 2, mst = a[2..2][0..0]
5614: n = 6 m = 8, ms = 26, mst = a[0..4][1..6]
5615: n = 5 m = 6, ms = 30, mst = a[0..3][0..5]
5616: n = 7 m = 10, ms = 33, mst = a[4..6][1..9]
5617: n = 5 m = 3, ms = 9, mst = a[1..4][0..1]
5618: n = 10 m = 3, ms = 19, mst = a[4..8][0..2]
5619: n = 3 m = 8, ms = 22, mst = a[1..2][0..7]
5620: n = 4 m = 6, ms = 14, mst = a[1..3][2..5]
5621: n = 3 m = 10, ms = 9, mst = a[0..0][0..5]
5622: n = 3 m = 10, ms = 14, mst = a[1..2][5..9]
5623: n = 2 m = 3, ms = 1, mst = a[1..1][0..0]
5624: n = 5 m = 6, ms = 19, mst = a[0..4][0..1]
5625: n = 6 m = 9, ms = 19, mst = a[0..5][0..2]
5626: n = 9 m = 5, ms = 28, mst = a[4..8][2..4]
5627: n = 8 m = 8, ms = 30, mst = a[0..5][1..6]
5628: n = 1 m = 6, ms = 3, mst = a[0..0][2..3]
5629: n = 10 m = 7, ms = 19, mst = a[6..9][0..6]
5630: n = 3 m = 4, ms = 12, mst = a[0..2][0..3]
5631: n = 9 m = 10, ms = 28, mst = a[3..6][4..8]
5632: n = 4 m = 7, ms = 6, mst = a[0..2][1..1]
5633: n = 2 m = 8, ms = 8, mst = a[0..0][1..5]
5634: n = 2 m = 10, ms = 13, mst = a[0..0][3..7]
5635: n = 1 m = 9, ms = 7, mst = a[0..0][5..8]
5636: n = 9 m = 3, ms = 8, mst = a[0..4][0..0]
5637: n = 8 m = 6, ms = 19, mst = a[0..5][0..3]
5638: n = 2 m = 9, ms = 7, mst = a[0..0][6..7]
5639: n = 7 m = 8, ms = 26, mst = a[0..6][0..4]
5640: n = 7 m = 7, ms = 13, mst = a[3..5][2..5]
5641: n = 7 m = 1, ms = 7, mst = a[5..6][0..0]
5642: n = 4 m = 9, ms = 23, mst = a[0..3][2..5]
5643: n = 1 m = 5, ms = 3, mst = a[0..0][0..0]
5644: n = 4 m = 1, ms = 4, mst = a[0..0][0..0]
5645: n = 1 m = 7, ms = 5, mst = a[0..0][1..6]
5646: n = 9 m = 5, ms = 23, mst = a[1..7][0..3]
5647: n = 9 m = 10, ms = 31, mst = a[0..7][1..9]
5648: n = 9 m = 4, ms = 19, mst = a[0..7][1..2]
5649: n = 7 m = 2, ms = 6, mst = a[4..6][0..0]
5650: n = 7 m = 5, ms = 24, mst = a[3..6][0..4]
5651: n = 3 m = 10, ms = 17, mst = a[1..2][4..6]
5652: n = 4 m = 5, ms = 11, mst = a[1..3][0..1]
5653: n = 2 m = 3, ms = 6, mst = a[1..1][1..2]
5654: n = 1 m = 3, ms = 4, mst = a[0..0][0..0]
5655: n = 9 m = 9, ms = 29, mst = a[0..6][2..6]
5656: n = 7 m = 5, ms = 12, mst = a[0..1][0..3]
5657: n = 4 m = 2, ms = 8, mst = a[0..1][1..1]
5658: n = 5 m = 4, ms = 7, mst = a[1..3][0..0]
5659: n = 8 m = 3, ms = 10, mst = a[1..5][1..1]
5660: n = 1 m = 6, ms = 3, mst = a[0..0][2..2]
5661: n = 2 m = 7, ms = 14, mst = a[0..1][0..4]
5662: n = 1 m = 2, ms = 0, mst is empty
5663: n = 2 m = 1, ms = 0, mst is empty
5664: n = 8 m = 9, ms = 17, mst = a[0..0][0..7]
5665: n = 9 m = 2, ms = 9, mst = a[4..5][0..1]
5666: n = 9 m = 6, ms = 31, mst = a[4..8][0..4]
5667: n = 4 m = 6, ms = 13, mst = a[0..1][2..5]
5668: n = 10 m = 5, ms = 16, mst = a[7..7][0..4]
5669: n = 4 m = 8, ms = 13, mst = a[2..3][5..7]
5670: n = 2 m = 1, ms = 0, mst = a[0..0][0..0]
5671: n = 1 m = 6, ms = 8, mst = a[0..0][2..5]
5672: n = 4 m = 8, ms = 16, mst = a[0..2][4..7]
5673: n = 1 m = 2, ms = 4, mst = a[0..0][0..0]
5674: n = 2 m = 7, ms = 17, mst = a[0..1][0..6]
5675: n = 6 m = 4, ms = 12, mst = a[0..5][1..1]
5676: n = 4 m = 2, ms = 9, mst = a[1..3][0..0]
5677: n = 10 m = 4, ms = 5, mst = a[8..9][0..0]
5678: n = 3 m = 8, ms = 11, mst = a[0..0][0..6]
5679: n = 7 m = 7, ms = 14, mst = a[0..5][0..0]
5680: n = 5 m = 6, ms = 10, mst = a[0..2][2..4]
5681: n = 7 m = 1, ms = 8, mst = a[5..6][0..0]
5682: n = 6 m = 5, ms = 23, mst = a[2..5][0..3]
5683: n = 1 m = 10, ms = 13, mst = a[0..0][1..9]
5684: n = 5 m = 4, ms = 13, mst = a[0..1][0..2]
5685: n = 5 m = 3, ms = 7, mst = a[0..0][0..1]
5686: n = 4 m = 10, ms = 39, mst = a[0..3][0..9]
5687: n = 4 m = 1, ms = 6, mst = a[2..3][0..0]
5688: n = 1 m = 7, ms = 5, mst = a[0..0][1..2]
5689: n = 9 m = 1, ms = 10, mst = a[3..7][0..0]
5690: n = 6 m = 2, ms = 3, mst = a[0..0][0..0]
5691: n = 1 m = 5, ms = 3, mst = a[0..0][0..0]
5692: n = 9 m = 3, ms = 9, mst = a[0..8][2..2]
5693: n = 3 m = 8, ms = 13, mst = a[1..1][2..6]
5694: n = 10 m = 4, ms = 30, mst = a[0..6][0..3]
5695: n = 8 m = 8, ms = 23, mst = a[2..6][1..7]
5696: n = 4 m = 9, ms = 12, mst = a[2..2][1..8]
5697: n = 4 m = 9, ms = 17, mst = a[0..3][0..6]
5698: n = 5 m = 7, ms = 28, mst = a[0..4][2..6]
5699: n = 10 m = 6, ms = 48, mst = a[0..9][0..5]
5700: n = 9 m = 2, ms = 12, mst = a[1..6][0..0]
5701: n = 10 m = 6, ms = 17, mst = a[0..5][2..5]
5702: n = 3 m = 1, ms = 5, mst = a[1..2][0..0]
5703: n = 1 m = 5, ms = 6, mst = a[0..0][2..4]
5704: n = 3 m = 5, ms = 7, mst = a[1..2][2..2]
5705: n = 3 m = 9, ms = 11, mst = a[0..2][2..4]
5706: n = 2 m = 1, ms = 0, mst = a[0..0][0..0]
5707: n = 8 m = 10, ms = 24, mst = a[0..3][1..5]
5708: n = 5 m = 3, ms = 7, mst = a[2..4][2..2]
5709: n = 8 m = 10, ms = 21, mst = a[0..0][0..9]
5710: n = 9 m = 7, ms = 20, mst = a[3..8][0..2]
5711: n = 5 m = 3, ms = 8, mst = a[3..4][0..2]
5712: n = 1 m = 7, ms = 8, mst = a[0..0][2..4]
5713: n = 10 m = 2, ms = 8, mst = a[1..5][0..0]
5714: n = 3 m = 10, ms = 20, mst = a[0..2][0..9]
5715: n = 6 m = 6, ms = 15, mst = a[1..4][0..2]
5716: n = 6 m = 6, ms = 15, mst = a[2..4][0..5]
5717: n = 6 m = 3, ms = 8, mst = a[1..3][1..1]
5718: n = 6 m = 8, ms = 14, mst = a[2..5][3..5]
5719: n = 2 m = 9, ms = 9, mst = a[1..1][3..8]
5720: n = 7 m = 6, ms = 14, mst = a[1..3][0..1]
5721: n = 6 m = 2, ms = 10, mst = a[0..2][0..1]
5722: n = 1 m = 7, ms = 9, mst = a[0..0][2..4]
5723: n = 6 m = 4, ms = 18, mst = a[0..5][1..3]
5724: n = 4 m = 6, ms = 13, mst = a[0..3][0..1]
5725: n = 2 m = 3, ms = 3, mst = a[0..1][1..2]
5726: n = 3 m = 6, ms = 17, mst = a[0..2][0..5]
5727: n = 9 m = 3, ms = 8, mst = a[4..5][0..2]
5728: n = 5 m = 7, ms = 28, mst = a[0..4][0..6]
5729: n = 7 m = 5, ms = 11, mst = a[0..2][0..2]
5730: n = 3 m = 7, ms = 9, mst = a[0..1][0..3]
5731: n = 3 m = 4, ms = 6, mst = a[1..1][0..3]
5732: n = 7 m = 10, ms = 19, mst = a[0..5][0..5]
5733: n = 8 m = 5, ms = 13, mst = a[1..7][1..1]
5734: n = 5 m = 6, ms = 20, mst = a[0..4][0..3]
5735: n = 7 m = 6, ms = 19, mst = a[0..6][0..5]
5736: n = 6 m = 3, ms = 9, mst = a[0..1][0..1]
5737: n = 1 m = 9, ms = 5, mst = a[0..0][1..4]
5738: n = 3 m = 5, ms = 12, mst = a[0..2][2..4]
5739: n = 8 m = 7, ms = 17, mst = a[0..7][0..2]
5740: n = 1 m = 6, ms = 6, mst = a[0..0][1..2]
5741: n = 4 m = 8, ms = 10, mst = a[0..1][2..6]
5742: n = 8 m = 2, ms = 24, mst = a[0..7][0..1]
5743: n = 9 m = 3, ms = 7, mst = a[0..8][0..0]
5744: n = 3 m = 1, ms = 0, mst is empty
5745: n = 2 m = 8, ms = 13, mst = a[0..1][1..6]
5746: n = 5 m = 8, ms = 24, mst = a[0..2][0..4]
5747: n = 3 m = 9, ms = 16, mst = a[0..2][1..7]
5748: n = 2 m = 8, ms = 8, mst = a[0..0][2..4]
5749: n = 4 m = 3, ms = 8, mst = a[0..1][0..1]
5750: n = 3 m = 2, ms = 9, mst = a[0..2][0..1]
5751: n = 6 m = 7, ms = 13, mst = a[2..4][1..5]
5752: n = 9 m = 1, ms = 13, mst = a[1..4][0..0]
5753: n = 7 m = 1, ms = 9, mst = a[1..4][0..0]
5754: n = 7 m = 1, ms = 3, mst = a[6..6][0..0]
5755: n = 10 m = 4, ms = 26, mst = a[0..5][0..3]
5756: n = 3 m = 1, ms = 1, mst = a[0..0][0..0]
5757: n = 9 m = 2, ms = 17, mst = a[0..7][0..1]
5758: n = 1 m = 9, ms = 7, mst = a[0..0][6..8]
5759: n = 2 m = 9, ms = 6, mst = a[0..1][4..5]
5760: n = 1 m = 4, ms = 0, mst = a[0..0][0..0]
5761: n = 2 m = 7, ms = 7, mst = a[0..1][3..5]
5762: n = 10 m = 10, ms = 32, mst = a[1..9][0..3]
5763: n = 9 m = 10, ms = 34, mst = a[0..8][0..6]
5764: n = 9 m = 8, ms = 17, mst = a[0..8][0..0]
5765: n = 2 m = 3, ms = 4, mst = a[0..0][0..0]
5766: n = 8 m = 7, ms = 22, mst = a[3..5][4..6]
5767: n = 10 m = 5, ms = 25, mst = a[0..8][1..4]
5768: n = 4 m = 2, ms = 10, mst = a[0..2][0..1]
5769: n = 6 m = 3, ms = 7, mst = a[0..1][2..2]
5770: n = 3 m = 2, ms = 0, mst is empty
5771: n = 7 m = 3, ms = 8, mst = a[2..2][0..2]
5772: n = 2 m = 3, ms = 1, mst = a[0..0][0..0]
5773: n = 4 m = 8, ms = 13, mst = a[1..3][0..3]
5774: n = 7 m = 1, ms = 2, mst = a[5..5][0..0]
5775: n = 10 m = 6, ms = 31, mst = a[2..9][0..5]
5776: n = 7 m = 3, ms = 8, mst = a[2..6][1..1]
5777: n = 5 m = 8, ms = 12, mst = a[0..4][7..7]
5778: n = 7 m = 4, ms = 17, mst = a[0..6][1..3]
5779: n = 10 m = 10, ms = 28, mst = a[0..5][0..7]
5780: n = 3 m = 9, ms = 13, mst = a[0..0][1..7]
5781: n = 8 m = 10, ms = 20, mst = a[1..2][4..9]
5782: n = 4 m = 5, ms = 14, mst = a[2..3][0..4]
5783: n = 8 m = 9, ms = 22, mst = a[4..7][0..2]
5784: n = 1 m = 1, ms = 0, mst is empty
5785: n = 4 m = 1, ms = 5, mst = a[1..2][0..0]
5786: n = 5 m = 9, ms = 23, mst = a[1..4][3..8]
5787: n = 2 m = 1, ms = 3, mst = a[1..1][0..0]
5788: n = 7 m = 6, ms = 14, mst = a[0..5][0..1]
5789: n = 10 m = 5, ms = 32, mst = a[0..7][0..4]
5790: n = 3 m = 6, ms = 11, mst = a[0..2][0..5]
5791: n = 4 m = 7, ms = 16, mst = a[0..2][1..4]
5792: n = 6 m = 2, ms = 10, mst = a[2..3][0..1]
5793: n = 10 m = 5, ms = 7, mst = a[5..9][2..2]
5794: n = 4 m = 5, ms = 4, mst = a[1..1][1..1]
5795: n = 10 m = 10, ms = 31, mst = a[1..4][3..9]
5796: n = 5 m = 3, ms = 11, mst = a[0..0][0..2]
5797: n = 3 m = 7, ms = 8, mst = a[2..2][2..5]
5798: n = 8 m = 1, ms = 7, mst = a[1..4][0..0]
5799: n = 1 m = 4, ms = 4, mst = a[0..0][3..3]
5800: n = 10 m = 2, ms = 5, mst = a[4..7][0..0]
5801: n = 10 m = 3, ms = 20, mst = a[3..9][2..2]
5802: n = 1 m = 2, ms = 4, mst = a[0..0][0..0]
5803: n = 9 m = 3, ms = 25, mst = a[0..8][0..2]
5804: n = 8 m = 3, ms = 9, mst = a[0..2][1..2]
5805: n = 1 m = 6, ms = 2, mst = a[0..0][3..4]
5806: n = 1 m = 8, ms = 9, mst = a[0..0][3..6]
5807: n = 7 m = 9, ms = 22, mst = a[0..6][1..2]
5808: n = 7 m = 3, ms = 11, mst = a[3..5][0..2]
5809: n = 7 m = 4, ms = 20, mst = a[1..5][1..3]
5810: n = 5 m = 9, ms = 11, mst = a[3..3][1..8]
5811: n = 1 m = 10, ms = 13, mst = a[0..0][0..9]
5812: n = 5 m = 10, ms = 7, mst = a[1..2][3..8]
5813: n = 2 m = 6, ms = 9, mst = a[1..1][0..4]
5814: n = 5 m = 10, ms = 22, mst = a[0..4][0..9]
5815: n = 3 m = 4, ms = 6, mst = a[1..1][1..2]
5816: n = 3 m = 5, ms = 16, mst = a[0..2][0..4]
5817: n = 3 m = 1, ms = 0, mst = a[1..1][0..0]
5818: n = 6 m = 10, ms = 9, mst = a[3..4][6..7]
5819: n = 1 m = 1, ms = 4, mst = a[0..0][0..0]
5820: n = 9 m = 7, ms = 21, mst = a[2..3][0..5]
5821: n = 6 m = 8, ms = 24, mst = a[2..5][2..7]
5822: n = 10 m = 3, ms = 9, mst = a[4..5][1..2]
5823: n = 1 m = 7, ms = 1, mst = a[0..0][3..3]
5824: n = 4 m = 10, ms = 22, mst = a[0..3][2..4]
5825: n = 6 m = 5, ms = 18, mst = a[0..5][0..2]
5826: n = 2 m = 3, ms = 4, mst = a[0..0][2..2]
5827: n = 2 m = 1, ms = 1, mst = a[1..1][0..0]
5828: n = 5 m = 5, ms = 8, mst = a[0..0][2..4]
5829: n = 3 m = 6, ms = 19, mst = a[0..1][0..5]
5830: n = 1 m = 9, ms = 3, mst = a[0..0][5..5]
5831: n = 6 m = 7, ms = 16, mst = a[0..5][5..6]
5832: n = 1 m = 10, ms = 4, mst = a[0..0][0..1]
5833: n = 9 m = 10, ms = 24, mst = a[1..3][4..9]
5834: n = 9 m = 7, ms = 10, mst = a[7..8][1..3]
5835: n = 2 m = 9, ms = 3, mst = a[0..0][8..8]
5836: n = 8 m = 3, ms = 21, mst = a[0..6][0..2]
5837: n = 5 m = 4, ms = 8, mst = a[4..4][1..3]
5838: n = 9 m = 10, ms = 46, mst = a[0..6][0..8]
5839: n = 8 m = 4, ms = 18, mst = a[4..7][1..3]
5840: n = 10 m = 3, ms = 14, mst = a[6..8][0..2]
5841: n = 3 m = 9, ms = 24, mst = a[0..2][2..8]
5842: n = 5 m = 1, ms = 6, mst = a[0..2][0..0]
5843: n = 9 m = 9, ms = 40, mst = a[0..8][0..6]
5844: n = 4 m = 4, ms = 17, mst = a[0..3][1..2]
5845: n = 5 m = 6, ms = 14, mst = a[0..0][1..4]
5846: n = 2 m = 4, ms = 2, mst = a[1..1][1..1]
5847: n = 3 m = 6, ms = 3, mst = a[0..0][5..5]
5848: n = 9 m = 8, ms = 13, mst = a[6..8][0..2]
5849: n = 8 m = 5, ms = 10, mst = a[3..5][4..4]
5850: n = 10 m = 1, ms = 3, mst = a[1..1][0..0]
5851: n = 3 m = 3, ms = 0, mst = a[0..0][1..1]
5852: n = 7 m = 8, ms = 9, mst = a[1..5][7..7]
5853: n = 5 m = 7, ms = 7, mst = a[0..4][2..2]
5854: n = 4 m = 9, ms = 15, mst = a[0..2][6..8]
5855: n = 1 m = 3, ms = 0, mst = a[0..0][2..2]
5856: n = 3 m = 8, ms = 23, mst = a[0..2][0..4]
5857: n = 5 m = 7, ms = 10, mst = a[0..3][6..6]
5858: n = 6 m = 3, ms = 10, mst = a[3..5][0..1]
5859: n = 3 m = 9, ms = 14, mst = a[0..2][4..7]
5860: n = 5 m = 10, ms = 33, mst = a[0..2][3..9]
5861: n = 4 m = 10, ms = 25, mst = a[1..3][1..8]
5862: n = 5 m = 8, ms = 25, mst = a[0..4][1..3]
5863: n = 5 m = 7, ms = 10, mst = a[1..2][1..3]
5864: n = 1 m = 1, ms = 4, mst = a[0..0][0..0]
5865: n = 9 m = 9, ms = 26, mst = a[1..8][0..5]
5866: n = 3 m = 10, ms = 6, mst = a[0..1][6..8]
5867: n = 3 m = 3, ms = 6, mst = a[0..2][1..2]
5868: n = 4 m = 7, ms = 21, mst = a[0..2][0..4]
5869: n = 7 m = 4, ms = 22, mst = a[0..4][0..3]
5870: n = 9 m = 3, ms = 6, mst = a[4..7][2..2]
5871: n = 6 m = 5, ms = 9, mst = a[0..1][0..1]
5872: n = 8 m = 2, ms = 7, mst = a[1..5][0..0]
5873: n = 8 m = 8, ms = 42, mst = a[0..7][0..7]
5874: n = 9 m = 5, ms = 14, mst = a[2..3][0..4]
5875: n = 8 m = 10, ms = 39, mst = a[0..7][0..9]
5876: n = 3 m = 1, ms = 0, mst = a[0..0][0..0]
5877: n = 8 m = 7, ms = 35, mst = a[2..7][3..6]
5878: n = 8 m = 9, ms = 12, mst = a[1..6][0..1]
5879: n = 5 m = 8, ms = 17, mst = a[1..4][3..7]
5880: n = 2 m = 7, ms = 10, mst = a[0..1][2..5]
5881: n = 4 m = 9, ms = 12, mst = a[0..0][2..7]
5882: n = 5 m = 1, ms = 3, mst = a[0..0][0..0]
5883: n = 10 m = 7, ms = 34, mst = a[3..6][0..6]
5884: n = 10 m = 9, ms = 26, mst = a[1..8][4..5]
5885: n = 5 m = 8, ms = 8, mst = a[1..1][0..1]
5886: n = 3 m = 7, ms = 11, mst = a[1..2][0..2]
5887: n = 4 m = 10, ms = 14, mst = a[0..2][3..7]
5888: n = 10 m = 10, ms = 18, mst = a[1..5][0..1]
5889: n = 7 m = 3, ms = 9, mst = a[0..4][0..1]
5890: n = 8 m = 3, ms = 6, mst = a[2..2][0..1]
5891: n = 8 m = 8, ms = 19, mst = a[4..7][1..6]
5892: n = 9 m = 2, ms = 12, mst = a[0..3][0..0]
5893: n = 7 m = 5, ms = 18, mst = a[1..6][1..2]
5894: n = 7 m = 1, ms = 6, mst = a[1..4][0..0]
5895: n = 7 m = 1, ms = 4, mst = a[5..5][0..0]
5896: n = 4 m = 1, ms = 1, mst = a[3..3][0..0]
5897: n = 9 m = 9, ms = 15, mst = a[5..7][2..5]
5898: n = 8 m = 8, ms = 13, mst = a[5..5][0..5]
5899: n = 6 m = 10, ms = 22, mst = a[0..3][4..8]
5900: n = 10 m = 6, ms = 19, mst = a[4..8][2..5]
5901: n = 1 m = 7, ms = 8, mst = a[0..0][0..5]
5902: n = 2 m = 6, ms = 7, mst = a[1..1][2..5]
5903: n = 1 m = 9, ms = 2, mst = a[0..0][7..7]
5904: n = 6 m = 2, ms = 8, mst = a[2..3][0..1]
5905: n = 7 m = 2, ms = 9, mst = a[3..5][0..1]
